Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Odontomachus_bauri	13	24	48.67	31	176	2.04	0.5	11	Odontomachus	Ponerinae	native
Pogonomyrmex_occidentalis	13	45	68.24	53	171	2.8	1	15	Pogonomyrmex	Myrmicinae	native
Pogonomyrmex_rugosus	13	31	64.03	70	174	1.35	0	7	Pogonomyrmex	Myrmicinae	native
Tapinoma_melanocephalum	13	19	40.32	44	71	1.68	1	9	Tapinoma	Dolichoderinae	alien
Tapinoma_sessile	13	34	50.18	49.5	154	0.82	0	6	Tapinoma	Dolichoderinae	alien
Temnothorax_nylanderi	13	24	42.42	28	125	2.75	0.5	24	Temnothorax	Myrmicinae	native
Tetramorium_semilaeve	13	33	48.27	43	107	2.61	0	13	Tetramorium	Myrmicinae	native
Anochetus_risii	12	14	72.43	58.5	250	2.5	2	7	Anochetus	Ponerinae	native
Aphaenogaster_longiceps	12	24	123.38	90.5	883	3.25	2	18	Aphaenogaster	Myrmicinae	native
Aphaenogaster_subterranea	12	21	95.67	61	452	2.43	2	14	Aphaenogaster	Myrmicinae	native
Camponotus_parius	12	45	30.84	23	195	0.67	0	8	Camponotus	Formicinae	native
Camponotus_pseudoirritans	12	24	90.29	57.5	255	1.63	0	13	Camponotus	Formicinae	native
Myrmecia_fulvipes	12	52	85.63	81.5	174	3.1	2	15	Myrmecia	Myrmeciinae	native
Pachycondyla_crassinoda	12	42	149.95	132.5	525	4.6	3.5	24	Pachycondyla	Ponerinae	native
Brachymyrmex_depilis	11	13	63.38	48	159	1.62	1	4	Brachymyrmex	Formicinae	native
Camponotus_aeneopilosus	11	41	98.8	93	191	3	2	14	Camponotus	Formicinae	native
Camponotus_fellah	11	22	53.45	35.5	233	2.41	1	8	Camponotus	Formicinae	native
Camponotus_pilicornis	11	14	101.21	96.5	192	2.29	1.5	8	Camponotus	Formicinae	native
Messor_minor	11	18	62.33	48	267	3.61	0	42	Messor	Myrmicinae	alien
Neoponera_apicalis	11	35	102.63	87	293	2.66	2	8	Neoponera	Ponerinae	native
Pheidole_spathifera	11	69	60.3	59	141	1.72	1	13	Pheidole	Myrmicinae	native
Pseudoneoponera_rufipes	11	19	74.89	51	260	2.68	2	13	Pseudoneoponera	Ponerinae	native
Tapinoma_nigerrimum	11	17	57.76	55	155	1.82	0	15	Tapinoma	Dolichoderinae	alien
Camponotus_atriceps	10	53	103.21	77	467	1.96	1	14	Camponotus	Formicinae	native
Camponotus_chilensis	10	44	27.75	26.5	75	0.41	0	6	Camponotus	Formicinae	native
Camponotus_nearcticus	10	19	45.11	42	92	2.11	0	10	Camponotus	Formicinae	native
Camponotus_suffusus	10	46	103.43	104	326	2.48	1	13	Camponotus	Formicinae	native
Camponotus_sylvaticus	10	19	94.32	60	397	1.63	1	6	Camponotus	Formicinae	native
Camponotus_vicinus	10	23	62.87	40	189	2.35	0	12	Camponotus	Formicinae	native
Cataglyphis_iberica	10	19	61.58	59	139	6.16	5	19	Cataglyphis	Formicinae	native
Formica_pratensis	10	11	62.64	64	158	2.91	0	20	Formica	Formicinae	native
Messor_wasmanni	10	27	97.22	97	179	2.37	1	13	Messor	Myrmicinae	native
Myrmicaria_brunnea	10	30	111.9	84.5	311	1.67	1	8	Myrmicaria	Myrmicinae	native
Polyrhachis_ammon	10	22	95.27	83	181	3.14	2.5	8	Polyrhachis	Formicinae	native
Temnothorax_unifasciatus	10	17	64.06	65	148	3.18	2	11	Temnothorax	Myrmicinae	alien
Acromyrmex_versicolor	9	141	45.16	26	191	2.01	1	18	Acromyrmex	Myrmicinae	native
Aphaenogaster_picea	9	25	64.8	64	119	1.16	1	6	Aphaenogaster	Myrmicinae	native
Aphaenogaster_picena	9	25	64.8	64	119	1.16	1	6	Aphaenogaster	Myrmicinae	native
Camponotus_floridanus	9	26	31.19	19.5	76	1.54	0.5	7	Camponotus	Formicinae	native
Camponotus_foreli	9	15	69	67	121	2.87	0	14	Camponotus	Formicinae	native
Formica_pallidefulva	9	139	54.17	51	210	1.46	0	11	Formica	Formicinae	native
Formica_subsericea	9	26	36.35	34	56	1.35	0	8	Formica	Formicinae	native
Lasius_brunneus	9	11	46.36	42	78	0.82	0	4	Lasius	Formicinae	native
Lasius_claviger	9	22	88.55	96.5	179	3.55	3	10	Lasius	Formicinae	native
Myrmecia_forficata	9	17	88.88	86	154	7.82	5	53	Myrmecia	Myrmeciinae	native
Myrmica_ruginodis	9	13	33.77	32	72	0.85	1	3	Myrmica	Myrmicinae	native
Neoponera_villosa	9	18	84.89	71	223	2.33	2	6	Neoponera	Ponerinae	native
Pheidole_pieli	9	20	60.7	37.5	255	1.3	0	11	Pheidole	Myrmicinae	native
Camponotus_fedtschenkoi	8	19	78.47	79	127	1.95	1	9	Camponotus	Formicinae	native
Camponotus_habereri	8	17	117.94	38	568	3.71	2	14	Camponotus	Formicinae	native
