Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Forelius_pruinosus	3	4	27	21.5	57	2	2	4	Forelius	Dolichoderinae	native
Formica_aserva	3	11	64.55	70	93	1.45	1	4	Formica	Formicinae	native
Formica_exsecta	3	3	121	65	260	6.67	3	15	Formica	Formicinae	native
Formica_exsectoides	3	4	168	109.5	394	3.25	2	8	Formica	Formicinae	native
Formica_neoclara	3	3	59	38	105	0.67	0	2	Formica	Formicinae	native
Formica_neorufibarbis	3	6	34.67	34.5	53	0.33	0	1	Formica	Formicinae	native
Formica_podzolica	3	8	36.88	31	79	2.88	2.5	8	Formica	Formicinae	native
Hypoponera_punctatissima	3	3	44	34	69	1.33	1	2	Hypoponera	Ponerinae	alien
Lasius_interjectus	3	5	59	33	146	3.4	1	13	Lasius	Formicinae	native
Lasius_japonicus	3	5	32.2	32	42	2.4	1	7	Lasius	Formicinae	alien
Lasius_pallitarsis	3	4	52.75	57	75	5	5	8	Lasius	Formicinae	native
Manica_hunteri	3	3	102	128	146	5.33	4	12	Manica	Myrmicinae	native
Messor_aegyptiacus	3	8	78	64	140	2	0	8	Messor	Myrmicinae	native
Messor_minor_hesperius	3	4	13.5	10	28	0	0	0	Messor	Myrmicinae	native
Messor_muticus	3	7	26.14	17	84	0.29	0	1	Messor	Myrmicinae	native
Monomorium_subopacum	3	5	41.2	29	92	0.8	1	2	Monomorium	Myrmicinae	alien
Mycocepurus_smithii	3	3	64.33	45	134	3.67	3	8	Mycocepurus	Myrmicinae	native
Myrmecia_chrysogaster	3	9	104.67	121	178	4.33	3	12	Myrmecia	Myrmeciinae	native
Myrmecia_esuriens	3	12	55.42	43	114	1.92	1	11	Myrmecia	Myrmeciinae	native
Myrmecia_simillima	3	13	109.46	103	231	6.46	6	15	Myrmecia	Myrmeciinae	native
Myrmecina_graminicola	3	3	72	70	122	1.33	0	4	Myrmecina	Myrmicinae	native
Myrmica_scabrinodis	3	10	82.1	73	152	2.2	1	9	Myrmica	Myrmicinae	native
Neoponera_verenae	3	16	89.19	85	126	1.44	1	5	Neoponera	Ponerinae	native
Oecophylla_longinoda	3	3	124.33	138	168	1.67	1	4	Oecophylla	Formicinae	native
Pheidole_capellinii	3	6	47	51	74	0.83	0.5	2	Pheidole	Myrmicinae	native
Polyrhachis_bihamata	3	3	240.67	176	452	3.67	4	5	Polyrhachis	Formicinae	native
Polyrhachis_femorata	3	8	66.25	66.5	104	3	3	7	Polyrhachis	Formicinae	native
Prenolepis_nitens	3	4	93	63	219	5.75	4.5	14	Prenolepis	Formicinae	native
Solenopsis_richteri	3	4	49.75	58	71	2	2	4	Solenopsis	Myrmicinae	alien
Solenopsis_tipuna	3	10	48.2	48	70	1.3	0	6	Solenopsis	Myrmicinae	native
Temnothorax_crassispinus	3	9	104.56	73	294	2.11	1	7	Temnothorax	Myrmicinae	native
Acromyrmex_echinatior	2	2	44.5	44.5	58	0.5	0.5	1	Acromyrmex	Myrmicinae	native
Acromyrmex_lobicornis	2	2	46.5	46.5	54	2	2	4	Acromyrmex	Myrmicinae	native
Acromyrmex_lundii	2	2	350.5	350.5	659	3.5	3.5	7	Acromyrmex	Myrmicinae	native
Acromyrmex_octospinosus_inti	2	9	72.67	83	97	0.11	0	1	Acromyrmex	Myrmicinae	native
Acromyrmex_striatus	2	5	54	31	121	1	0	3	Acromyrmex	Myrmicinae	native
Amblyopone_australis	2	4	42.5	41.5	71	4	2	11	Amblyopone	Amblyoponinae	alien
Aphaenogaster_megommata	2	3	217	217	238	11	10	14	Aphaenogaster	Myrmicinae	native
Aphaenogaster_polyodonta	2	2	154	154	195	0.5	0.5	1	Aphaenogaster	Myrmicinae	native
Aphaenogaster_swammerdami	2	2	327	327	438	3	3	4	Aphaenogaster	Myrmicinae	native
Aphaenogaster_testaceopilosa	2	3	146	31	383	1	1	2	Aphaenogaster	Myrmicinae	native
Camponotus_americanus	2	4	34.25	33.5	56	0.25	0	1	Camponotus	Formicinae	native
Camponotus_cecconii	2	2	73.5	73.5	101	0	0	0	Camponotus	Formicinae	native
Camponotus_clarithorax	2	4	58.25	17	189	1.5	0	6	Camponotus	Formicinae	native
Camponotus_distinguendus	2	42	21.29	13	66	0.67	0	10	Camponotus	Formicinae	native
Camponotus_dolendus	2	6	125.5	136	201	4.17	4	8	Camponotus	Formicinae	native
Camponotus_eastwoodi	2	2	119	119	175	1.5	1.5	2	Camponotus	Formicinae	native
Camponotus_hyatti	2	2	46.5	46.5	69	1	1	1	Camponotus	Formicinae	native
Camponotus_ionius	2	2	60	60	63	2	2	2	Camponotus	Formicinae	native
Camponotus_lasiselene	2	2	164.5	164.5	309	7.5	7.5	14	Camponotus	Formicinae	native
Camponotus_mitis	2	7	31.29	18	83	0.14	0	1	Camponotus	Formicinae	native
Camponotus_mutilarius	2	2	81.5	81.5	123	0	0	0	Camponotus	Formicinae	native
Camponotus_nigroaeneus	2	2	114.5	114.5	120	1	1	2	Camponotus	Formicinae	native
Camponotus_propinquus	2	6	34.83	34.5	43	1.33	0	8	Camponotus	Formicinae	native
Camponotus_pudorosus	2	2	61.5	61.5	99	1.5	1.5	3	Camponotus	Formicinae	native
Camponotus_rufoglaucus	2	13	86.46	85	196	1.23	1	4	Camponotus	Formicinae	native
Camponotus_saxatilis	2	6	40.5	42	50	0.67	0	4	Camponotus	Formicinae	native
Camponotus_semitestaceus	2	5	59	35	154	3.8	1	12	Camponotus	Formicinae	native
Camponotus_sericeus	2	3	133.33	76	283	4	2	10	Camponotus	Formicinae	alien
Camponotus_suffusus_bendigensis	2	18	119.17	112	168	1.89	1	6	Camponotus	Formicinae	native
Camponotus_terebrans	2	2	91	91	110	3	3	4	Camponotus	Formicinae	native
Camponotus_vanispinus	2	2	33	33	62	0	0	0	Camponotus	Formicinae	native
Camponotus_vestitus	2	3	63.33	66	85	0.33	0	1	Camponotus	Formicinae	native
Carebara_castanea	2	2	184	184	272	19	19	21	Carebara	Myrmicinae	native
Cataglyphis_hispanica	2	4	58.5	59.5	63	9	7	19	Cataglyphis	Formicinae	native
Cerapachys_sulcinodis	2	4	46.25	45.5	57	5	4	12	Cerapachys	Dorylinae	native
Colobopsis_explodens	2	2	60.5	60.5	121	2	2	4	Colobopsis	Formicinae	native
Crematogaster_rudis	2	3	84.67	103	126	1	0	3	Crematogaster	Myrmicinae	native
Diacamma_scalpratum	2	2	166.5	166.5	246	2	2	2	Diacamma	Ponerinae	native
Dinoponera_gigantea	2	2	751	751	1405	10	10	17	Dinoponera	Ponerinae	native
Dolichoderus_attelaboides	2	2	78.5	78.5	93	3	3	3	Dolichoderus	Dolichoderinae	native
Dolichoderus_pustulatus	2	2	104.5	104.5	160	7	7	14	Dolichoderus	Dolichoderinae	native
Dorymyrmex_bureni	2	4	53.5	54.5	76	2	2	3	Dorymyrmex	Dolichoderinae	native
Ectatomma_brunneum	2	2	105.5	105.5	128	5	5	6	Ectatomma	Ectatomminae	native
Ectatomma_edentatum	2	9	63.11	65	91	0.44	0	4	Ectatomma	Ectatomminae	native
Ectatomma_ruidum	2	2	132	132	179	2	2	4	Ectatomma	Ectatomminae	alien
Formica_neogagates	2	2	31.5	31.5	38	1.5	1.5	3	Formica	Formicinae	native
Formica_ulkei	2	3	64	38	120	1	0	3	Formica	Formicinae	native
Hypoponera_opacior	2	2	53.5	53.5	62	2.5	2.5	5	Hypoponera	Ponerinae	alien
Lasiophanes_hoffmanni	2	44	14.07	12.5	47	0.07	0	3	Lasiophanes	Formicinae	native
Lasius_crypticus	2	3	75.33	57	114	0.67	1	1	Lasius	Formicinae	native
Lasius_myops	2	2	54	54	58	1	1	2	Lasius	Formicinae	native
Lasius_spathepus	2	5	56.6	54	90	1.8	1	5	Lasius	Formicinae	native
Leptogenys_falcigera	2	2	30.5	30.5	32	1.5	1.5	3	Leptogenys	Ponerinae	alien
Leptothorax_canadensis	2	2	44	44	54	2	2	2	Leptothorax	Myrmicinae	native
Leptothorax_muscorum	2	3	56	64	70	4.67	6	6	Leptothorax	Myrmicinae	native
Liometopum_occidentale	2	13	109.38	106	189	6.23	6	15	Liometopum	Dolichoderinae	native
Messor_foreli	2	2	91	91	139	2.5	2.5	4	Messor	Myrmicinae	native
Messor_nondentatus	2	2	49	49	78	1	1	2	Messor	Myrmicinae	native
Monomorium_latastei	2	58	31.07	31	78	0.43	0	5	Monomorium	Myrmicinae	native
Monomorium_rubriceps	2	2	194.5	194.5	235	2.5	2.5	4	Monomorium	Myrmicinae	native
Myrmecia_gilberti	2	2	95.5	95.5	104	1.5	1.5	3	Myrmecia	Myrmeciinae	native
Myrmecia_pavida	2	4	78.5	57.5	186	2.25	1.5	6	Myrmecia	Myrmeciinae	native
Myrmecia_tepperi	2	2	74.5	74.5	82	2.5	2.5	4	Myrmecia	Myrmeciinae	native
Myrmecina_americana	2	2	103.5	103.5	106	2	2	2	Myrmecina	Myrmicinae	native
Myrmecocystus_mendax	2	10	117	99	243	5.7	3	16	Myrmecocystus	Formicinae	native
Myrmecocystus_tenuinodis	2	3	89	88	128	3.33	2	8	Myrmecocystus	Formicinae	native
Myrmecocystus_testaceus	2	2	49.5	49.5	69	0.5	0.5	1	Myrmecocystus	Formicinae	native
Myrmecocystus_wheeleri	2	2	121	121	189	6	6	6	Myrmecocystus	Formicinae	native
Myrmica_crassirugis	2	2	89.5	89.5	116	0	0	0	Myrmica	Myrmicinae	native
Myrmica_sabuleti	2	2	85.5	85.5	101	5.5	5.5	9	Myrmica	Myrmicinae	native
Nothomyrmecia_macrops	2	2	24.5	24.5	40	3.5	3.5	7	Nothomyrmecia	Nothomyrmeciinae	native
Nylanderia_flavipes	2	2	40.5	40.5	64	0.5	0.5	1	Nylanderia	Formicinae	alien
Ochetellus_glaber	2	3	62.67	69	89	1.67	2	2	Ochetellus	Dolichoderinae	alien
Odontomachus_erythrocephalus	2	7	150.29	160	295	7	6	22	Odontomachus	Ponerinae	native
Odontomachus_infandus	2	6	54.17	55	85	0.33	0	1	Odontomachus	Ponerinae	native
Odontomachus_ruginodis	2	4	57	57	69	1	0.5	3	Odontomachus	Ponerinae	alien
Pachycondyla_harpax	2	2	31	31	55	0	0	0	Pachycondyla	Ponerinae	native
Pachycondyla_striata	2	3	39.33	39	46	0.33	0	1	Pachycondyla	Ponerinae	native
Pheidole_bicarinata	2	7	52.29	60	89	0.86	0	3	Pheidole	Myrmicinae	native
Pheidole_dentata	2	23	54.43	55	91	1	0	6	Pheidole	Myrmicinae	native
Pheidole_parva	2	2	30	30	30	1.5	1.5	2	Pheidole	Myrmicinae	alien
Pheidole_sinica	2	6	93.33	88.5	132	1.67	1.5	4	Pheidole	Myrmicinae	native
Pheidole_spininodis	2	20	22.8	21.5	50	1.2	0	11	Pheidole	Myrmicinae	native
Plectroctena_mandibularis	2	2	75	75	105	5.5	5.5	8	Plectroctena	Ponerinae	native
Pogonomyrmex_maricopa	2	3	50.33	55	62	3.33	2	7	Pogonomyrmex	Myrmicinae	native
Pogonomyrmex_subnitidus	2	7	134.29	139	193	3.86	3	7	Pogonomyrmex	Myrmicinae	native
Polyergus_lucidus	2	2	43.5	43.5	49	4.5	4.5	8	Polyergus	Formicinae	native
Polyrhachis_australis	2	5	64.4	63	115	2	1	5	Polyrhachis	Formicinae	native
Polyrhachis_ornata	2	6	110.67	126	186	3.33	2	8	Polyrhachis	Formicinae	native
Polyrhachis_schistacea	2	4	80.75	94	113	1.75	0	7	Polyrhachis	Formicinae	native
Ponera_coarctata	2	3	59.67	51	93	5.67	5	9	Ponera	Ponerinae	native
Pseudolasius_cibdelus	2	3	93	45	197	1	0	3	Pseudolasius	Formicinae	native
Solenopsis_jacoti	2	2	23.5	23.5	39	3.5	3.5	6	Solenopsis	Myrmicinae	native
Solenopsis_saevissima	2	2	58	58	99	0	0	0	Solenopsis	Myrmicinae	alien
Stenamma_diecki	2	4	64.5	65	88	1	1	2	Stenamma	Myrmicinae	native
Temnothorax_parvulus	2	2	58.5	58.5	72	2	2	4	Temnothorax	Myrmicinae	native
Tetramorium_impurum	2	12	118.25	108	193	1.67	0	7	Tetramorium	Myrmicinae	native
Trachymyrmex_septentrionalis	2	9	49.22	49	61	1	0	4	Trachymyrmex	Myrmicinae	native
Acanthomyrmex_ferox	1	1	90	90	90	8	8	8	Acanthomyrmex	Myrmicinae	native
Acanthostichus_brevicornis	1	1	28	28	28	2	2	2	Acanthostichus	Dorylinae	native
Acromyrmex_fracticornis	1	1	231	231	231	0	0	0	Acromyrmex	Myrmicinae	native
Anochetus_rectangularis	1	1	146	146	146	6	6	6	Anochetus	Ponerinae	native
Anonychomyrma_froggatti	1	1	46	46	46	0	0	0	Anonychomyrma	Dolichoderinae	native
Aphaenogaster_ashmeadi	1	1	26	26	26	0	0	0	Aphaenogaster	Myrmicinae	native
Aphaenogaster_balcanica	1	1	54	54	54	0	0	0	Aphaenogaster	Myrmicinae	native
Aphaenogaster_beccarii	1	1	12	12	12	0	0	0	Aphaenogaster	Myrmicinae	native
Aphaenogaster_famelica	1	1	232	232	232	16	16	16	Aphaenogaster	Myrmicinae	native
Aphaenogaster_fulva	1	6	47.5	44.5	82	1.5	0.5	6	Aphaenogaster	Myrmicinae	native
Aphaenogaster_japonica	1	2	172.5	172.5	214	0.5	0.5	1	Aphaenogaster	Myrmicinae	native
Aphaenogaster_sardoa	1	1	48	48	48	2	2	2	Aphaenogaster	Myrmicinae	native
Aphaenogaster_spinosa	1	1	38	38	38	0	0	0	Aphaenogaster	Myrmicinae	native
Aphaenogaster_tipuna	1	2	67	67	83	1	1	2	Aphaenogaster	Myrmicinae	native
Atta_colombica	1	1	36	36	36	2	2	2	Atta	Myrmicinae	native
Atta_saltensis	1	1	30	30	30	0	0	0	Atta	Myrmicinae	native
Azteca_alfari	1	1	166	166	166	12	12	12	Azteca	Dolichoderinae	native
Brachymyrmex_giardi	1	102	19.07	16	55	0.26	0	5	Brachymyrmex	Formicinae	native
Brachymyrmex_obscurior	1	3	82.33	62	126	8.33	8	14	Brachymyrmex	Formicinae	alien
Buniapone_amblyops	1	1	381	381	381	4	4	4	Buniapone	Amblyoponinae	native
Camponotus_afflatus	1	1	119	119	119	2	2	2	Camponotus	Formicinae	native
Camponotus_albocinctus	1	1	37	37	37	0	0	0	Camponotus	Formicinae	native
Camponotus_arrogans	1	1	113	113	113	0	0	0	Camponotus	Formicinae	native
Camponotus_atlantis	1	9	152.56	161	196	4.78	3	13	Camponotus	Formicinae	native
Camponotus_atrox	1	5	36.6	32	58	0.8	0	3	Camponotus	Formicinae	native
Camponotus_bellus	1	1	99	99	99	5	5	5	Camponotus	Formicinae	native
Camponotus_bidens	1	1	152	152	152	3	3	3	Camponotus	Formicinae	native
Camponotus_brullei	1	3	255.33	274	325	13.33	13	23	Camponotus	Formicinae	native
Camponotus_conspicuus_zonatus	1	2	46.5	46.5	56	0.5	0.5	1	Camponotus	Formicinae	native
Camponotus_essigi	1	3	117.33	115	157	4	1	11	Camponotus	Formicinae	native
Camponotus_greeni	1	1	29	29	29	0	0	0	Camponotus	Formicinae	native
Camponotus_jianghuaensis	1	1	41	41	41	2	2	2	Camponotus	Formicinae	native
Camponotus_lameerei	1	1	36	36	36	0	0	0	Camponotus	Formicinae	native
Camponotus_lighti	1	2	218	218	274	2	2	4	Camponotus	Formicinae	native
Camponotus_marcens	1	2	158.5	158.5	174	11.5	11.5	12	Camponotus	Formicinae	native
Camponotus_maritimus	1	1	160	160	160	3	3	3	Camponotus	Formicinae	native
Camponotus_nawai	1	1	229	229	229	2	2	2	Camponotus	Formicinae	native
Camponotus_nipponensis	1	1	62	62	62	1	1	1	Camponotus	Formicinae	native
Camponotus_ovaticeps	1	1	18	18	18	0	0	0	Camponotus	Formicinae	native
Camponotus_petersii	1	1	108	108	108	0	0	0	Camponotus	Formicinae	native
Camponotus_pexus	1	1	70	70	70	0	0	0	Camponotus	Formicinae	native
Camponotus_pittieri	1	1	112	112	112	1	1	1	Camponotus	Formicinae	native
Camponotus_pseudolendus	1	1	49	49	49	0	0	0	Camponotus	Formicinae	native
Camponotus_punctulatus	1	1	20	20	20	0	0	0	Camponotus	Formicinae	native
Camponotus_rectangularis	1	3	123	148	156	3	3	6	Camponotus	Formicinae	native
Camponotus_selene	1	1	152	152	152	2	2	2	Camponotus	Formicinae	native
Camponotus_senex	1	1	40	40	40	1	1	1	Camponotus	Formicinae	native
Camponotus_socius	1	1	20	20	20	0	0	0	Camponotus	Formicinae	native
Camponotus_spinolae	1	30	7.7	4	60	0.07	0	2	Camponotus	Formicinae	native
Camponotus_universitatis	1	1	133	133	133	5	5	5	Camponotus	Formicinae	native
Camponotus_ursus	1	1	128	128	128	1	1	1	Camponotus	Formicinae	native
Camponotus_vitiosus	1	1	152	152	152	0	0	0	Camponotus	Formicinae	native
Camponotus_vittatus	1	1	33	33	33	2	2	2	Camponotus	Formicinae	native
Camponotus_whitei	1	1	40	40	40	2	2	2	Camponotus	Formicinae	native
Camponotus_yogi	1	3	113.33	113	131	7.67	2	19	Camponotus	Formicinae	native
Cardiocondyla_emeryi	1	1	47	47	47	0	0	0	Cardiocondyla	Myrmicinae	alien
Cardiocondyla_venustula	1	1	16	16	16	0	0	0	Cardiocondyla	Myrmicinae	alien
Carebara_longii	1	1	41	41	41	3	3	3	Carebara	Myrmicinae	native
Cataglyphis_cursor	1	1	23	23	23	0	0	0	Cataglyphis	Formicinae	native
Cataglyphis_livida	1	1	32	32	32	0	0	0	Cataglyphis	Formicinae	native
Cataglyphis_oasium	1	2	26.5	26.5	34	2	2	2	Cataglyphis	Formicinae	native
Cataglyphis_savignyi	1	1	57	57	57	0	0	0	Cataglyphis	Formicinae	native
Cataglyphis_tartessica	1	1	293	293	293	6	6	6	Cataglyphis	Formicinae	native
Cataulacus_granulatus	1	1	200	200	200	5	5	5	Cataulacus	Myrmicinae	native
Cephalotes_conspersus	1	1	41	41	41	8	8	8	Cephalotes	Myrmicinae	native
Cephalotes_kukulcan	1	2	163	163	163	4.5	4.5	6	Cephalotes	Myrmicinae	native
Cephalotes_maculatus	1	1	22	22	22	1	1	1	Cephalotes	Myrmicinae	native
Cephalotes_minutus	1	1	105	105	105	9	9	9	Cephalotes	Myrmicinae	native
Cephalotes_persimilis	1	10	89	88.5	110	4.6	3.5	13	Cephalotes	Myrmicinae	native
Cephalotes_pusillus	1	1	30	30	30	0	0	0	Cephalotes	Myrmicinae	native
Cephalotes_rohweri	1	1	41	41	41	6	6	6	Cephalotes	Myrmicinae	native
Cephalotes_specularis	1	1	57	57	57	0	0	0	Cephalotes	Myrmicinae	native
Cheliomyrmex_andicola	1	1	51	51	51	1	1	1	Cheliomyrmex	Dorylinae	native
Colobopsis_leonardi	1	1	301	301	301	9	9	9	Colobopsis	Formicinae	native
Colobopsis_politae	1	1	99	99	99	5	5	5	Colobopsis	Formicinae	native
Colobopsis_saundersi	1	1	53	53	53	0	0	0	Colobopsis	Formicinae	native
Colobopsis_vitrea	1	1	178	178	178	0	0	0	Colobopsis	Formicinae	native
Crematogaster_ashmeadi	1	2	59	59	68	4.5	4.5	8	Crematogaster	Myrmicinae	native
Crematogaster_borneensis	1	1	57	57	57	0	0	0	Crematogaster	Myrmicinae	native
Crematogaster_coarctata	1	1	178	178	178	8	8	8	Crematogaster	Myrmicinae	native
Crematogaster_dispar	1	1	70	70	70	2	2	2	Crematogaster	Myrmicinae	native
Crematogaster_laestrygon	1	3	64	58	83	0	0	0	Crematogaster	Myrmicinae	native
Crematogaster_pallida	1	1	22	22	22	0	0	0	Crematogaster	Myrmicinae	native
Crematogaster_schencki	1	1	138	138	138	3	3	3	Crematogaster	Myrmicinae	native
Crematogaster_solenopsides	1	1	38	38	38	1	1	1	Crematogaster	Myrmicinae	native
Crematogaster_sordidula	1	1	70	70	70	2	2	2	Crematogaster	Myrmicinae	native
Crematogaster_vagula	1	2	86	86	88	4	4	8	Crematogaster	Myrmicinae	native
Crematogaster_vermiculata	1	3	151.33	156	167	2.33	3	3	Crematogaster	Myrmicinae	native
Cyphomyrmex_rimosus	1	1	20	20	20	0	0	0	Cyphomyrmex	Myrmicinae	alien
Diacamma_baguiense	1	5	41.4	37	52	0.2	0	1	Diacamma	Ponerinae	native
Diacamma_generali	1	3	41.67	41	51	0.33	0	1	Diacamma	Ponerinae	native
Diacamma_pallidum	1	1	90	90	90	0	0	0	Diacamma	Ponerinae	native
Dinoponera_australis	1	1	2839	2839	2839	14	14	14	Dinoponera	Ponerinae	native
Dinoponera_quadriceps	1	1	97	97	97	3	3	3	Dinoponera	Ponerinae	native
Doleromyrma_darwiniana	1	2	92.5	92.5	110	2	2	3	Doleromyrma	Dolichoderinae	alien
Dolichoderus_clarki	1	3	86.33	94	95	0.67	0	2	Dolichoderus	Dolichoderinae	native
Dolichoderus_epetreius	1	1	35	35	35	0	0	0	Dolichoderus	Dolichoderinae	native
Dolichoderus_scabridus	1	1	104	104	104	7	7	7	Dolichoderus	Dolichoderinae	native
Dolichoderus_taschenbergi	1	1	38	38	38	3	3	3	Dolichoderus	Dolichoderinae	native
Dorymyrmex_agallardoi	1	24	14.75	14	31	0	0	0	Dorymyrmex	Dolichoderinae	native
Dorymyrmex_ensifer	1	28	20.5	11.5	144	0.68	0	6	Dorymyrmex	Dolichoderinae	native
Dorymyrmex_flavus	1	1	41	41	41	1	1	1	Dorymyrmex	Dolichoderinae	native
Dorymyrmex_goetschi	1	4	18	15.5	29	0.25	0	1	Dorymyrmex	Dolichoderinae	native
Dorymyrmex_planidens	1	1	22	22	22	0	0	0	Dorymyrmex	Dolichoderinae	native
Dorymyrmex_smithi	1	1	90	90	90	1	1	1	Dorymyrmex	Dolichoderinae	native
Echinopla_striata_aciculata	1	1	68	68	68	0	0	0	Echinopla	Formicinae	native
Ectatomma_opaciventre	1	19	96.32	95	168	1.89	2	5	Ectatomma	Ectatomminae	native
Ectomomyrmex_javanus	1	2	29	29	32	0.5	0.5	1	Ectomomyrmex	Ponerinae	native
Formica_aquilonia	1	1	11	11	11	0	0	0	Formica	Formicinae	native
Formica_archboldi	1	6	29.67	28.5	42	0.5	0.5	1	Formica	Formicinae	native
Formica_candida	1	1	43	43	43	0	0	0	Formica	Formicinae	native
Formica_foreli	1	1	44	44	44	0	0	0	Formica	Formicinae	native
Formica_fossaceps	1	1	112	112	112	6	6	6	Formica	Formicinae	native
Formica_francoeuri	1	2	137.5	137.5	159	3	3	4	Formica	Formicinae	native
Formica_fuscocinerea	1	1	30	30	30	0	0	0	Formica	Formicinae	native
Formica_picea	1	1	8	8	8	0	0	0	Formica	Formicinae	native
Formica_planipilis	1	3	75	71	93	1	0	3	Formica	Formicinae	native
Formica_pressilabris	1	1	162	162	162	5	5	5	Formica	Formicinae	native
Formica_ravida	1	2	166	166	226	3	3	6	Formica	Formicinae	native
Formica_subintegra	1	1	32	32	32	1	1	1	Formica	Formicinae	native
Formica_transmontanis	1	1	91	91	91	0	0	0	Formica	Formicinae	native
Formica_truncorum	1	2	45	45	59	7	7	12	Formica	Formicinae	native
Formica_vinculans	1	1	127	127	127	3	3	3	Formica	Formicinae	native
Formicoxenus_nitidulus	1	1	95	95	95	7	7	7	Formicoxenus	Myrmicinae	native
Froggattella_kirbii	1	1	99	99	99	9	9	9	Froggattella	Dolichoderinae	native
Goniomma_hispanicum	1	1	46	46	46	5	5	5	Goniomma	Myrmicinae	native
Heteroponera_carinifrons	1	5	31.6	25	51	1.8	2	4	Heteroponera	Heteroponerinae	native
Iridomyrmex_hartmeyeri	1	1	130	130	130	2	2	2	Iridomyrmex	Dolichoderinae	native
Lasiophanes_atriventris	1	33	14.06	14	34	0.06	0	2	Lasiophanes	Formicinae	native
Lasius_aphidicola	1	1	86	86	86	4	4	4	Lasius	Formicinae	native
Lasius_latipes	1	1	142	142	142	3	3	3	Lasius	Formicinae	native
Lasius_nearcticus	1	3	105.67	112	118	1.67	1	3	Lasius	Formicinae	native
Lasius_paralienus	1	5	19.2	18	30	0.2	0	1	Lasius	Formicinae	native
Lasius_psammophilus	1	1	365	365	365	5	5	5	Lasius	Formicinae	native
Lepisiota_capensis	1	6	39.17	41	50	0.17	0	1	Lepisiota	Formicinae	alien
Lepisiota_capensis_minuta	1	6	38	41	44	0.17	0	1	Lepisiota	Formicinae	native
Leptanilloides_atlantica	1	1	65	65	65	1	1	1	Leptanilloides	Dorylinae	native
Leptogenys_kitteli	1	1	46	46	46	2	2	2	Leptogenys	Ponerinae	native
Leptogenys_manni	1	1	32	32	32	0	0	0	Leptogenys	Ponerinae	native
Leptogenys_maxillosa	1	1	216	216	216	2	2	2	Leptogenys	Ponerinae	alien
Leptomyrmex_erythrocephalus	1	2	141	141	212	2.5	2.5	4	Leptomyrmex	Dolichoderinae	native
Leptomyrmex_rufipes	1	1	153	153	153	5	5	5	Leptomyrmex	Dolichoderinae	native
Liometopum_microcephalum	1	1	46	46	46	7	7	7	Liometopum	Dolichoderinae	native
Martialis_heureka	1	1	70	70	70	1	1	1	Martialis	Martialinae	native
Megalomyrmex_emeryi	1	5	158.2	156	173	3.6	4	7	Megalomyrmex	Myrmicinae	native
Meranoplus_laeviventris	1	1	133	133	133	1	1	1	Meranoplus	Myrmicinae	native
Mesoponera_australis	1	1	30	30	30	1	1	1	Mesoponera	Ponerinae	native
Messor_aralocaspius	1	1	41	41	41	0	0	0	Messor	Myrmicinae	native
Messor_caducus	1	2	113.5	113.5	117	0.5	0.5	1	Messor	Myrmicinae	native
Messor_hebraeus	1	1	140	140	140	7	7	7	Messor	Myrmicinae	native
Messor_luridus	1	1	31	31	31	0	0	0	Messor	Myrmicinae	native
Messor_lusitanicus	1	1	45	45	45	2	2	2	Messor	Myrmicinae	alien
Messor_meridionalis	1	2	113.5	113.5	117	0.5	0.5	1	Messor	Myrmicinae	native
Messor_valentinae	1	1	47	47	47	0	0	0	Messor	Myrmicinae	native
Monomorium_bidentatum	1	3	44.33	39	57	0	0	0	Monomorium	Myrmicinae	native
Monomorium_bimaculatum	1	1	27	27	27	0	0	0	Monomorium	Myrmicinae	native
Monomorium_chilense	1	4	30.75	28.5	57	0	0	0	Monomorium	Myrmicinae	native
Monomorium_denticulatum	1	2	50	50	57	0	0	0	Monomorium	Myrmicinae	native
Monomorium_intrudens	1	1	96	96	96	1	1	1	Monomorium	Myrmicinae	alien
Monomorium_salomonis	1	1	141	141	141	9	9	9	Monomorium	Myrmicinae	alien
Monomorium_sydneyense	1	1	223	223	223	2	2	2	Monomorium	Myrmicinae	alien
Myrmecia_aberrans	1	1	314	314	314	4	4	4	Myrmecia	Myrmeciinae	native
Myrmecia_gratiosa	1	2	71.5	71.5	84	0	0	0	Myrmecia	Myrmeciinae	native
Myrmecia_nobilis	1	1	199	199	199	2	2	2	Myrmecia	Myrmeciinae	native
Myrmecina_nipponica	1	1	18	18	18	0	0	0	Myrmecina	Myrmicinae	native
Myrmecocystus_depilis	1	2	61	61	64	1	1	2	Myrmecocystus	Formicinae	native
Myrmecocystus_semirufus	1	1	161	161	161	17	17	17	Myrmecocystus	Formicinae	native
Myrmelachista_chilensis	1	8	37.5	31.5	55	0.13	0	1	Myrmelachista	Formicinae	native
Myrmelachista_hoffmanni	1	9	27	20	55	0	0	0	Myrmelachista	Formicinae	native
Myrmica_alaskensis	1	1	105	105	105	0	0	0	Myrmica	Myrmicinae	native
Myrmica_aloba	1	1	72	72	72	1	1	1	Myrmica	Myrmicinae	native
Myrmica_brevispinosa	1	1	78	78	78	0	0	0	Myrmica	Myrmicinae	native
Myrmica_excelsa	1	3	28	25	35	0	0	0	Myrmica	Myrmicinae	native
Myrmica_lonae	1	1	83	83	83	6	6	6	Myrmica	Myrmicinae	native
